0/-1	" It is easier to fool a million people than it is to convince a million people that they have been fooled." - Mark Twain
0/0	" NATURAL IMMUNITY " protected us since evolution. Do not exist anymore?
0/-1	" NATURAL IMMUNITY " protected us since evolution. Do not exist anymore? ? ? No one talks about it, Why? ?
1/-1	" The bigest sideffect of vaccines is fewer dead children " That is savage
0/-1	"90% of people that get vaccinated don't get the virus" Wooow what's in the vaccine then? I'm very pro vaccination, but in my opinion Covid 19 vaccine is just sweetened water.
1/1	"95.6% effective against the original strain and 85.6% effective against the variant." Excellent news. Every positive news during this pandemic is to be welcomed (no pun intended)
0/0	"Appears Safe"... yeh think I will pass.
1/1	"Both NHS workers have a history of serious allergies and carry adrenaline pens around with them." So 2 people had a reaction out of thousands and they were already prone to them. I will still be getting the jab when it is offered to me.Thank you!
0/0	"COVID arm" is a new rash-like side effect appearing among some people who've received Moderna's COVID-19 vaccine.
1/1	"Doctors don't know anything about vaccines"?!? What is she fucking talking about?? That's like saying that Mechanics don't know anything about carburators! The fact that she said that implies that she knows more about vaccines than actual doctors. That her 20-30 minutes of "research" on google finding the answers she wanted is in some way a better education on vaccines than years in college studying in the field of medicine. Wow.
1/1	"Feelings are often immune to facts" I loved this statement, it's very true, Anti-Vaxxers would not accept, understand or comprehend Scientific and Statistic proofs, they just keep throwing misinformation and very weak arguments that do not make sense at all.
0/0	"HERD" immunity???? That's an insult to the human race as it makes us sound like a HERD of CATTLE! That term is SO Offensive to me! It should be cancelled along with the religion of science.
1/1	"I don't need the vaccine," they said while enjoying life without polio, tetanus, hepatitis A, hepatitis B, rubella, measles, whooping cough, the mumps, smallpox, diphtheria, rabies, rotavirus, pneumococcal disease, HPV, meningococcal disease, shingles and a bunch of 1800s stuff
1/1	"I'd rather be dead....than have a vaccine". The most ridiculous statement which shows the mentality of anti-vaxxers.
1/1/1/1	"I'm NoT GeTTiN iT cAuSe I'm heALthy " Yall. Kids and people with certain illness can't get this. We need to protect them.
1/1	"I've had my vaccination to protect myself and my family, but also to protect the patients that I'm looking after and my fellow colleagues"
1/1	"If you love your NHS, if you want to protect your NHS, this is the best way to do it." A message from GP Dr Amir Khan to everyone about the importance of getting the #COVID19 vaccine
0/0	"It's literally like a ransom for our freedom." ðŸ‘
1/0	"Laura is concerned about the virus because of what she has seen online". I'm afraid that's because Laura is poorly educated and can't think critically, not because those concerns have merit.
0/1	"Maybe it causes infertility, maybe not. Now trust the science and take your shot, bigot!"
0/0	"My body, my choice!" Right, liberals? ... Oh, it doesn't apply here?
1/0/0	"My body, my choice" seems to only apply when you want to kill children and not protect them.
0/0	"NEVER be first in line, for next best thing"... 107yr old- D. ROSS
1/1	"No amount of evidence will ever persuade an idiot”
0/-1	"No one went to the hospital or died."  That's reassuring.
1/1	"Norway patient died after being injected with covid 19 vaccine" But another 100 million people didn't!!
1/-1	"Parents know better", of course they do, a doctor doesn't study for 11 years to be a pediatrician, is only 11 minutes
1/1	"Remember, vaccines work, vaccines are safe, and it's the way out of this misery, which we're all experiencing," Dr. Constantinescu says.
0	"Side effects are minimal" do you have source for that? Or is that your assumption based on previous vaccines? I'm not saying vaccines are bad. I'm grateful for all the diseases that went away because of them but with viruses it's different.
1/1	"Side effects include not dying or getting your love ones killed" Sign me up.
